0,70.13,86.08,70.71,73.46,80.14,73.75,63.05,67.01,76.04,45.15,75.98,71.95,84.31,65.74,76.29,71.95,68.27,63.42,47.86,50.8,41.89,84.91,58.43,59.81,53.76,54.01,62.73,50.02,55.78,63.81,60.87,63.95,64.74,59.7,57.25,57.95,50.5,59.21,77.6,70.41,55.65,75.08,54.16,57.9,70.41,68.56,65.04,65.46,64.38,68.75,62.19
3,71.7,80.98,70.86,71.12,77.04,74.22,62.11,65.7,75.09,46.42,78.75,70.01,81.16,66.77,77.73,72.25,65.68,58.85,47.55,52.37,39.2,84.51,57.15,60.65,55.2,53.29,62.33,49.52,55.01,65.2,60.9,61.75,67.88,59.26,60.19,57.26,51.14,59.37,75.93,69.75,57.52,74.17,55.82,56.82,70.21,72.21,63.99,63.09,64.95,64.27,62.27
6,66.62,82.43,69.99,71.73,73.73,75.2,61.08,67.75,76.57,48.09,77.05,69.71,82.27,65.1,77.9,72.42,65.26,58.12,48.35,51.03,40.93,83.27,54.67,63.49,55.42,52.9,61.7,50.73,53.51,66.8,60.03,64.42,66.46,57.99,59.98,59.58,51.34,57.6,77.65,71.05,57.46,74.57,54.45,56.73,70.9,73.73,63.64,62.09,65.2,71.14,63.29
9,68.09,79.63,69.71,69.71,74.03,75.3,61.92,68,76.85,47.62,77.66,72.17,84.17,65.02,77.89,73.6,66.56,60.64,44.2,52.73,40.83,83.8,58.77,61.44,55.86,53.7,60.97,56.08,59.52,66.79,59.48,63.77,66.22,57.86,59.58,56.58,54.26,58.48,75.79,68.7,58.58,78.09,54.03,57.53,67.34,72.57,62.93,63.32,66.27,68.05,63.05
12,66.25,76.57,69.06,69.43,73.4,77.34,62.18,67.07,75.87,47.27,79.77,71.22,84.44,63.22,79.27,72.04,67.95,57.54,46.14,52.22,39.05,82.86,56.1,61.1,54.98,54.97,60.83,54.29,57.5,66.27,60.2,62.15,65.53,57.4,60.85,59.61,51.16,59.53,75.09,68.6,55.88,79.08,53.65,57.43,68.74,74.57,60.65,63.57,65.03,63.71,66.06
15,67.02,79.66,69.43,72.73,75.21,78.11,64.18,67.2,75.56,46.91,77.22,71.08,88.05,63,79.74,73.24,68.74,56.73,46.94,52.6,40.47,84.12,57.88,61.97,56.96,53.22,60.77,53.19,55.05,64.26,60.55,62.59,66.85,57,60.43,58.01,51.51,59.37,75.89,71.03,56.02,76.54,55.45,54.93,68.19,73.79,61.91,63.03,65.21,67.33,66.98
18,68.62,77.96,69.1,71.69,73.67,78.67,64.38,64.06,73.78,45.52,76.82,73.3,84.43,62.5,79.32,73.37,69.63,60.63,47.12,50.9,39.87,82.31,57.59,64.69,57.39,54.53,64.25,53.27,54.86,63.8,59.75,61.98,64.22,56.67,59.64,59.92,52.55,59.6,73.57,71.27,54.36,79.16,54.97,58.09,69.63,73.92,58.72,62.96,59.71,66.42,64.87
21,64.61,75.57,72.14,68.23,73.54,81.4,62.97,66.74,73.01,47.06,75.41,73.55,85.19,62.4,77.27,68.97,67.44,56.39,45.94,49.41,41.73,84.03,57.86,63.1,56.76,54.95,61.01,54.11,55.4,62.22,60.62,63.46,63.86,58.98,59.73,58.72,51.82,58.78,73.73,71.4,55.94,77.27,54.14,57.36,69.65,69.77,58.21,61.41,61.66,65.86,62.44
24,65.13,75.48,73.23,66.43,74.86,80.14,61.9,66.32,72.96,44.97,74.19,72.02,84.88,62.68,81.81,68.7,67.98,61.57,46.2,49.56,39.84,85.42,56.25,63.42,56.57,54.66,61.4,54,55.64,64.83,59.72,61.21,60.94,61.39,57.87,59.85,53.92,60.61,73.57,73.55,56.73,78.52,54.69,56.83,67.81,70.28,59.83,62.02,62.1,65.35,63.42
27,65.38,77.28,76.85,66.67,71.74,81.2,61.76,65.88,71.23,45.44,76.48,68.75,82.44,60.83,81.24,68.53,69.9,59.72,48.01,49.36,40.83,82.34,56.75,62.94,59.22,55.56,60.41,53.66,53.61,67.94,60.64,65.29,61.27,59.21,59.15,59.45,53.93,59.01,72.79,73.11,57.64,80.26,54.96,56.91,68.23,68.29,56.46,64.7,64.18,64.8,63.92
30,64.69,77.6,75.56,67.47,73.41,80.45,64.26,66.37,67.14,46.66,75.12,71.88,82.01,62.04,79.67,65.27,69.66,59.99,46.81,50.07,40.98,81.86,56.8,63.2,58.46,57.21,60.48,54.2,54.17,65.17,56.65,62.51,61.2,60.77,59.13,60.06,53.52,60.63,74.3,72.95,59.51,81.6,56.28,55.05,71.25,67.67,55.72,64.06,61.55,63.76,65.56
33,67.2,78.91,76.61,68.44,73.35,82.26,65.75,66.73,68.58,46.24,74.45,71.84,81.62,62.1,80.19,68.56,68.13,59.55,48.84,53.36,41.93,82.95,58.16,62.59,61.64,56.12,60.53,50.99,54.15,66.29,56.16,61.34,61.21,60.16,60.47,58.96,54.69,58.23,71.49,73.74,59.3,81.72,55.11,55.88,69.81,62.93,56.42,66.72,61.3,62.51,63.72
36,65.1,74.97,71.14,68.47,74.46,80.95,64.16,65.25,69.61,46.39,74.32,71.34,81.15,62.46,81.15,65.35,66.53,58.78,48.4,52.24,41.28,84.46,56.69,61.91,58.45,54.62,60.33,52.35,55.46,66.51,56.99,59.41,61.91,62.04,62.52,61.85,53.73,60.17,69.79,69.35,58.96,82.49,54.19,55.32,73.21,61.8,56.69,64.13,62.91,66.25,64.25
39,66.97,75.98,71.73,70.26,73.8,80.56,66.01,65.86,69.31,48.07,75.79,71.75,80.86,63.77,83.1,67.89,67.02,58.21,49.44,52.42,41.47,82.76,57.1,61.5,60.2,58.57,61.04,53.06,52.53,67.77,57.22,58.47,60.97,60.37,62.74,61.01,54.99,61.41,69.34,69.66,59,79.23,54.71,53.59,73.29,62.95,57.85,63.78,65,65.94,63.19
42,65.92,74.74,71.35,67.53,74.03,80.08,67.09,66.83,69.19,47.87,74.87,73.3,80.41,61.7,82.87,64.6,65.26,60.72,48.78,51.88,41.65,79.73,56.19,63.48,62.93,56.28,63.15,54.36,55.26,69.26,55.06,57.57,62.49,60.99,61.32,62.63,55.42,62.19,71.2,73.26,60.34,77.01,55.47,52.47,72.46,63.14,58.11,62.58,65.59,66.28,60.35
45,67.17,75.15,68.8,68.23,73.62,82.21,66.84,68.29,68.18,45.98,74.24,75.83,80.45,64.36,80.61,64.2,67.37,61.23,48.83,53.38,40.7,78.3,58.8,63.09,63.31,56.62,62.35,53.38,54.85,68.94,55.69,58.55,64.27,58.42,63.44,62.33,55.64,58.13,70.52,71.89,61.17,75.45,55.93,54.98,71.84,60.87,58.52,62.86,65.51,63.53,60.76
48,68.11,76.62,72.03,68.34,74.27,80.84,67.33,71.2,67.87,49.43,75.04,75.32,81.25,65.33,79.07,66.57,66.65,60.45,48.91,51.63,40.41,79.41,58.01,65.36,62.45,60.14,59.78,55.54,56.91,67.59,53.8,59.59,64.4,59.38,63.3,63.3,55.3,56.11,69.69,73.23,61.29,76.03,56.36,54.15,73.53,62.89,59.78,64.61,64.57,65.45,
51,65.92,77.33,72.98,68.13,75.78,,68.29,70.05,69.03,50.29,78.52,76.04,80.62,63.83,80.14,64.89,64.46,61.11,47.89,,,80.1,57.46,62.27,63.69,59.9,60.77,53.82,54.57,69.71,52.75,59.07,63.19,,64.37,65.55,55.94,55.05,69.1,74.97,63.01,76.1,58.42,53.73,71.58,63.04,61.47,63.81,,62.3,
54,68.33,78.49,72.5,69.12,73.56,,66.39,,68.53,48.12,76.56,79.43,82.56,67.44,80.06,66.58,66.9,60.89,48.11,,,80.92,57.12,63.16,63.21,60.63,62.25,51.92,56.51,69.11,52.77,56.59,64.21,,65.55,63.79,55.71,54.96,70.14,74.27,62.99,,56.88,53.55,71.69,65.09,61.43,63.78,,64.27,
57,68.89,79.55,74.94,67.85,72.61,,63.04,,,51.1,80.65,75.35,84.61,68.8,76.55,66.71,67.29,61.68,47.19,,,78.13,58.18,64.93,65.58,,63.43,55.11,55.87,69.77,51.43,57.79,63.36,,65.32,62.76,56.44,55.02,71.93,73.67,63.56,,60.13,53.73,68.86,64.17,61.75,67.1,,64.33,
60,70.49,78.05,71.61,69.88,73.42,,62.77,,,49.37,80.01,75.76,83.76,69.29,,69.09,65.93,62.01,48.28,,,77.15,57.47,62.91,63.26,,66.78,54.63,55.96,71.49,52.8,56.92,65.04,,62.95,63.54,56.96,55.56,71.83,,63.75,,61.07,53.66,,65.79,64.17,68.44,,62.73,
63,71.6,81.53,71.9,71.17,73.73,,63.06,,,51.03,81.35,76.23,84.27,70.61,,68.71,64.16,62.05,,,,,60.71,63.3,64.35,,66.06,54.24,59.35,70.2,50.95,56.81,66.33,,63.68,63.7,56.21,53.93,71.8,,65.79,,59.24,54.45,,66.15,64.29,67.93,,61.74,
66,71.98,79.22,72.19,,72.1,,64.06,,,51.25,78.37,75.32,,71.23,,69.77,66.37,62.46,,,,,60.73,63.07,64.38,,67.09,53.79,59.14,66.64,,56.69,65.91,,,63.54,57.12,51.89,73.48,,66.27,,59.75,55.93,,67.59,64.31,70.77,,63.31,
69,72.83,80.08,71.02,,73.4,,64.67,,,50.48,79.52,75.53,,73.24,,69.72,63.64,59.73,,,,,60.26,65.17,63.63,,64.47,54.31,60.38,67.42,,54.39,66.64,,,64.22,56.46,52.75,72.31,,64.57,,60.23,56.24,,66.94,65.32,70.83,,61.93,
72,75.66,81.24,69.74,,72.69,,66.52,,,52.67,79.26,75.51,,71.45,,70.25,66.39,59.84,,,,,61.01,66.53,63.36,,64.98,54.44,60.51,67.02,,,64.77,,,64.24,57.27,,73,,67.19,,61.61,56.3,,64.58,64.76,69.27,,65.42,
75,75.37,80.48,68.14,,72.77,,65.02,,,52.28,80.55,75.69,,,,71.03,66.89,58.09,,,,,61.33,65.55,61.69,,63.23,55.9,60.11,65.56,,,,,,65.04,54.61,,72.67,,63.76,,60.12,56.04,,67.74,65.34,69.62,,67.15,
78,76.29,80.74,69.58,,75.14,,64.71,,,53.06,79.01,78.49,,,,74.27,66.07,57.58,,,,,62.35,64.42,62.95,,65.01,55.21,61.41,65.73,,,,,,66.12,56.71,,75.21,,64.84,,59.4,54.13,,67.4,65.15,70.22,,69.87,
81,79.25,81.93,68.42,,77.62,,,,,54.15,80.55,78.02,,,,74.82,,55.73,,,,,61.58,67.01,60.86,,65.51,56.15,61.75,,,,,,,64.37,56.46,,74.9,,66.45,,59.38,55.25,,69.05,65.32,72.43,,70.09,
84,79.93,85.87,68.29,,77.51,,,,,56.61,79.11,78.5,,,,75.9,,55.65,,,,,64.3,66.13,60.88,,,58.11,,,,,,,,64.96,55.03,,72.68,,68.73,,62.03,55.09,,68.22,,70.76,,70.48,
87,78.43,84.92,,,75.87,,,,,57.46,82.12,81.1,,,,78.43,,57.73,,,,,63.65,65.87,58.2,,,58.81,,,,,,,,61.8,,,74.43,,66.8,,61.76,55.24,,73.15,,69.12,,71.09,
90,76.3,87.78,,,78.94,,,,,56.34,82.18,82.2,,,,79.6,,56.07,,,,,66.21,67.78,63.37,,,60.48,,,,,,,,,,,76.47,,65.04,,62,58.19,,74.24,,70.46,,71.58,
93,81.33,85.49,,,80.41,,,,,57.52,81.48,82.18,,,,80.67,,58.09,,,,,64.27,65.44,64.02,,,60.97,,,,,,,,,,,76.61,,64.33,,61.24,54.78,,72.36,,,,72.61,
96,77.72,85.75,,,76.44,,,,,55.45,81.95,80.88,,,,81.94,,57.75,,,,,65.05,66.04,,,,60.75,,,,,,,,,,,77.1,,66.5,,61.86,55.05,,72.46,,,,70.1,
99,78.2,84.66,,,76.2,,,,,59.13,80.22,83.57,,,,81.35,,57.01,,,,,63.72,66.09,,,,60.62,,,,,,,,,,,77.5,,65.79,,61.04,55.13,,72.59,,,,70.11,
102,,84.65,,,76.55,,,,,58.96,83.14,87.28,,,,81.29,,57.8,,,,,65.13,65.78,,,,62.29,,,,,,,,,,,76.52,,65.34,,62.2,56.71,,75.53,,,,68.42,
105,,85.22,,,74.46,,,,,58.13,83.71,89.51,,,,81.54,,56.26,,,,,64.31,64.28,,,,63.94,,,,,,,,,,,77.43,,65.04,,63.08,55.83,,74.25,,,,68.98,
108,,79.24,,,73.17,,,,,58.4,81.38,91.45,,,,81.47,,56.73,,,,,63.01,63.12,,,,64.02,,,,,,,,,,,73.08,,65.12,,62.89,56.3,,73.48,,,,70,
111,,79.64,,,77.68,,,,,58.56,81.22,89.49,,,,81.38,,57.5,,,,,,,,,,60.55,,,,,,,,,,,72.83,,65.72,,62.8,57.1,,73.61,,,,71.34,
114,,,,,77.57,,,,,58.34,82.3,87.76,,,,80.54,,57.66,,,,,,,,,,63.19,,,,,,,,,,,73.49,,66.15,,62.73,57.22,,75.48,,,,72.05,
117,,,,,78.46,,,,,58,79.91,86.73,,,,82.49,,58,,,,,,,,,,63.17,,,,,,,,,,,,,64.76,,61.57,58.41,,74.91,,,,70.14,
120,,,,,78.52,,,,,57.77,79.28,86.1,,,,82.99,,59.81,,,,,,,,,,64.56,,,,,,,,,,,,,66.45,,,57.31,,72.29,,,,70.44,
123,,,,,81.76,,,,,57.86,79.62,85.78,,,,83.43,,61.83,,,,,,,,,,62.99,,,,,,,,,,,,,62.86,,,58.8,,,,,,70.71,
126,,,,,81.65,,,,,57.99,75.54,,,,,82.83,,60.97,,,,,,,,,,64.24,,,,,,,,,,,,,63.41,,,57.8,,,,,,71.21,
129,,,,,79.48,,,,,55.48,75.15,,,,,84.57,,65.21,,,,,,,,,,65.02,,,,,,,,,,,,,65.37,,,57.32,,,,,,,
132,,,,,79.99,,,,,55.87,69.94,,,,,84.74,,63.4,,,,,,,,,,64.7,,,,,,,,,,,,,,,,58.26,,,,,,,
135,,,,,80.39,,,,,56.36,,,,,,87.25,,65.74,,,,,,,,,,65.59,,,,,,,,,,,,,,,,58.02,,,,,,,
138,,,,,81.3,,,,,58.77,,,,,,83.32,,65.83,,,,,,,,,,64.42,,,,,,,,,,,,,,,,58.08,,,,,,,
141,,,,,81.35,,,,,59.19,,,,,,79.32,,66.92,,,,,,,,,,65.3,,,,,,,,,,,,,,,,60.28,,,,,,,
144,,,,,80.36,,,,,59.77,,,,,,79.34,,67.32,,,,,,,,,,65.65,,,,,,,,,,,,,,,,60.64,,,,,,,
147,,,,,80.66,,,,,60.47,,,,,,,,69.78,,,,,,,,,,65.93,,,,,,,,,,,,,,,,60.87,,,,,,,
150,,,,,80.42,,,,,63.43,,,,,,,,71.33,,,,,,,,,,65.45,,,,,,,,,,,,,,,,60.66,,,,,,,
153,,,,,79.18,,,,,62.18,,,,,,,,70.5,,,,,,,,,,65.02,,,,,,,,,,,,,,,,60.86,,,,,,,
156,,,,,80.85,,,,,62.62,,,,,,,,72.84,,,,,,,,,,65.82,,,,,,,,,,,,,,,,62.08,,,,,,,
159,,,,,,,,,,65.69,,,,,,,,71.35,,,,,,,,,,66.99,,,,,,,,,,,,,,,,60.77,,,,,,,
162,,,,,,,,,,64.1,,,,,,,,71.54,,,,,,,,,,65.22,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,62.71,,,,,,,,72.07,,,,,,,,,,64.37,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,63.47,,,,,,,,72.1,,,,,,,,,,66.28,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,66.03,,,,,,,,69.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,66.26,,,,,,,,69.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,65.53,,,,,,,,71.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,69.21,,,,,,,,71.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,69.37,,,,,,,,70.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,69.54,,,,,,,,71.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,71.22,,,,,,,,69.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,71.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,70.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,71.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,72.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,75.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,72.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
